title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
Mission: Impossible - Fallout,7.414,7537,2018-07-13,791657398,147,178000000,61.258,"['Action', 'Adventure']",5,180.0,0.8806935352663123,0.8806935,0.8806935,0.3522774,1389188.88
Quantum of Solace,6.314,7317,2008-10-29,589580482,106,200000000,33.985,"['Adventure', 'Action', 'Thriller', 'Crime']",4,120.0,0.6920425233205654,0.553634,0.6920425,0.4152255,1199496.58
King Kong,6.869,7297,2005-12-12,562363449,187,207000000,35.331,"['Adventure', 'Drama', 'Action']",7,210.0,0.7052813823302418,0.5642251,0.7052814,0.4231688,1183636.14
Ice Age: Continental Drift,6.36,7038,2012-06-27,877244782,88,95000000,53.054,"['Animation', 'Comedy', 'Adventure', 'Family']",3,90.0,0.8369332679376715,0.8369333,0.50216,0.50216,1292693.74
Ralph Breaks the Internet,7.2,6999,2018-11-20,529323962,112,175000000,49.649,"['Family', 'Animation', 'Comedy', 'Adventure']",4,120.0,0.8162736061389719,0.8162736,0.4897642,0.4897642,1067188.75
F9,7.139,6660,2021-05-19,726229501,143,200000000,48.986,"['Action', 'Adventure', 'Crime']",5,180.0,0.8120490988260538,0.6496393,0.8120491,0.4872295,1363475.4
The Croods,6.913,6607,2013-03-15,587204668,98,135000000,38.079,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Comedy', 'Action']",4,120.0,0.7304716082410841,0.7304716,0.5843773,0.438283,1040645.6
Despicable Me 3,6.451,6560,2017-06-15,1031552585,90,80000000,29.104,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",4,120.0,0.6379552661343509,0.6379553,0.5103642,0.3827732,1441863.1
Madagascar: Escape 2 Africa,6.488,6371,2008-10-30,603900354,89,150000000,61.944,"['Family', 'Adventure', 'Animation', 'Comedy']",3,90.0,0.8840260734229856,0.8840261,0.5304156,0.5304156,1096680.42
Kung Fu Panda 2,6.968,6365,2011-05-25,665692281,91,150000000,52.793,"['Animation', 'Family']",4,120.0,0.8354077069451369,0.8354077,0.3341631,0.3341631,1170830.74
Oz the Great and Powerful,5.903,6232,2013-03-07,491868548,130,200000000,29.84,"['Fantasy', 'Adventure', 'Family']",5,150.0,0.6468047420295151,0.6468047,0.5174438,0.2587219,1082242.26
Terminator 3: Rise of the Machines,6.145,6098,2003-07-02,435000000,109,200000000,36.434,"['Action', 'Thriller', 'Science Fiction']",4,120.0,0.7156736802725192,0.4294042,0.7156737,0.2862695,1014000.0
The Chronicles of Narnia: Prince Caspian,6.616,5916,2008-05-15,419665568,150,225000000,39.516,"['Adventure', 'Family', 'Fantasy']",6,180.0,0.7427672946103492,0.7427673,0.5942138,0.2971069,1055598.68
Transformers: The Last Knight,6.059,5727,2017-06-16,605425157,154,217000000,44.968,"['Action', 'Adventure', 'Science Fiction']",6,180.0,0.7848540931244149,0.6278833,0.7848541,0.3139416,1259310.19
Maleficent: Mistress of Evil,7.323,5698,2019-10-16,491730089,119,185000000,40.547,"['Family', 'Fantasy', 'Adventure', 'Action']",4,150.0,0.7512545122263831,0.7512545,0.6010036,0.3005018,1046076.11
Madagascar 3: Europe's Most Wanted,6.606,5658,2012-06-06,746921274,93,145000000,38.66,"['Animation', 'Family', 'Comedy', 'Adventure']",4,120.0,0.7355107175502307,0.7355107,0.4413064,0.4413064,1256305.53
No Time to Die,7.402,5502,2021-09-29,774153007,163,250000000,51.295,"['Action', 'Thriller', 'Romance']",6,180.0,0.8264699039056459,0.4958819,0.8264699,0.4958819,1540983.61
Superman Returns,5.738,3859,2006-06-28,391081192,154,270000000,31.188,"['Science Fiction', 'Action', 'Adventure']",6,180.0,0.6623304899815919,0.5298644,0.6623305,0.2649322,1129297.43
