title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
Life of Pi,7.398,12426,2012-11-20,609016565,127,120000000,37.796,"['Adventure', 'Drama']",5,150.0,0.727982637719764,0.5823861,0.7279826,0.5823861,1030819.88
The Animal,5.112,1132,2001-06-01,84772742,84,22000000,16.459,['Comedy'],3,90.0,0.4201915886985212,0.4201916,0.4201916,0.4201916,166527.29
Drowning Mona,5.5,148,2000-03-03,15427192,96,6000000,11.289,"['Comedy', 'Crime', 'Mystery']",4,120.0,0.2572369204000401,0.1543422,0.2572369,0.2572369,44912.63
First Reformed,7.006,1213,2018-05-18,2525738,113,3500000,15.09,['Drama'],4,120.0,0.3841102402014757,0.1536441,0.3841102,0.3841102,23430.89
Movie 43,4.577,2146,2013-01-24,32438988,90,6000000,30.207,['Comedy'],4,120.0,0.6511167241482605,0.6511167,0.6511167,0.6511167,65326.79
Moana,7.6,11502,2016-10-13,690860472,107,150000000,17.963,"['Adventure', 'Comedy', 'Family', 'Animation']",4,120.0,0.4556972632143658,0.4556973,0.2734184,0.2734184,1201032.57
Honey,6.31,1097,2003-11-24,62646763,94,18000000,15.043,"['Music', 'Drama', 'Romance']",4,120.0,0.3827985556569765,0.2296791,0.3062388,0.3827986,130376.12
The Water Diviner,6.8,1143,2014-12-25,15520023,112,22500000,12.358,"['War', 'Drama']",4,120.0,0.2978697307968267,0.1191479,0.2382958,0.2978697,84624.03
Little Children,7.108,885,2006-10-06,14821658,137,26000000,17.119,"['Drama', 'Romance']",5,150.0,0.4362568829100251,0.1745028,0.4362569,0.4362569,92185.99
Demolition Man,6.684,3329,1993-10-08,58055768,115,57000000,41.096,"['Crime', 'Action', 'Science Fiction']",4,120.0,0.755666214776407,0.4533997,0.7556662,0.4533997,218466.92
Life As We Know It,6.9,2949,2010-10-02,105734416,114,38000000,22.249,"['Comedy', 'Romance', 'Drama']",4,120.0,0.5392631759370975,0.3235579,0.5392632,0.5392632,230081.3
Safe,6.483,2234,2012-04-16,40346186,94,30000000,25.253,"['Action', 'Crime', 'Thriller']",4,120.0,0.5866222423625886,0.3519733,0.5866222,0.3519733,132415.42
Transporter 3,6.142,3097,2008-11-26,108979549,104,30000000,25.008,"['Action', 'Adventure', 'Thriller', 'Crime']",4,120.0,0.583029698492358,0.4664238,0.5830297,0.3498178,214775.46
The Horse Whisperer,6.879,1020,1998-02-01,186883563,170,60000000,16.348,"['Adventure', 'Drama', 'Romance']",6,210.0,0.4174097242934253,0.2504458,0.4174097,0.3339278,380260.28
Colonia,7.285,1813,2015-06-24,3621046,106,14000000,16.365,"['Drama', 'History']",4,120.0,0.4178373212703118,0.1671349,0.4178373,0.4178373,49945.26
Forces of Nature,5.397,484,1999-03-12,93888180,105,75000000,10.627,"['Romance', 'Comedy']",4,120.0,0.2295284054974507,0.1836227,0.2295284,0.2295284,304665.82
Gimme Shelter,6.627,225,2013-10-17,1359910,101,7500000,6.284,['Drama'],4,120.0,1e-06,4e-07,1e-06,1e-06,31631.89
Memento,8.188,13723,2000-10-11,39723096,113,9000000,31.795,"['Mystery', 'Thriller']",4,120.0,0.6690521425354742,0.2676209,0.6690521,0.5352417,81267.72
The Entity,6.535,411,1982-09-30,13277558,125,9000000,14.965,"['Horror', 'Mystery', 'Thriller']",5,150.0,0.3806102198350067,0.1522441,0.3806102,0.2283661,49533.07
Shorts,5.839,279,2009-08-21,28972508,89,40000000,11.649,"['Family', 'Fantasy', 'Comedy']",3,90.0,0.2714493868967139,0.2714494,0.2171595,0.2171595,142767.01
Speed Racer,6.254,1406,2008-05-07,93945766,135,120000000,21.939,"['Family', 'Action', 'Adventure', 'Comedy']",5,150.0,0.5339227489044744,0.5339227,0.4271382,0.3203536,412734.92
The Long Riders,6.689,209,1980-05-16,15795189,99,10000000,14.184,['Western'],4,120.0,0.3578694599878275,0.1431478,0.1431478,0.3578695,54954.23
Death Proof,6.824,4703,2007-05-22,31126421,113,25000000,28.985,"['Action', 'Thriller']",4,120.0,0.6364983169477649,0.5091987,0.6364983,0.2545993,109351.71
