title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity
Under the Skin,6.1,3125,2014-03-14,5735963,108,13300000,21.065,"['Thriller', 'Science Fiction', 'Drama']",4,120.0,0.5183418472043375,0.2073367,0.5183418,0.3110051
Alien,8.147,13206,1979-05-25,104931801,117,11000000,72.767,"['Horror', 'Science Fiction']",4,150.0,0.9313385974360447,0.3725354,0.9313386,0.3725354
The Fifth Element,7.53,9947,1997-05-02,263920180,126,90000000,49.67,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",5,150.0,0.8164062845756747,0.653125,0.8164063,0.3265625
The Ring Two,5.732,2107,2005-03-10,161451538,110,50000000,20.997,"['Drama', 'Horror', 'Thriller']",4,120.0,0.5170956822708169,0.2068383,0.5170957,0.3102574
The Florida Project,7.4,2510,2017-10-06,11303040,112,2000000,11.677,['Drama'],4,120.0,0.2725312886095553,0.1090125,0.2725313,0.2725313
The Long Kiss Goodnight,6.621,1068,1996-10-11,89456761,121,65000000,21.756,"['Crime', 'Action', 'Mystery', 'Thriller']",5,150.0,0.5307255650851971,0.3184353,0.5307256,0.4245805
Anchorman: The Legend of Ron Burgundy,6.7,3825,2004-06-28,90574188,95,26000000,16.584,['Comedy'],4,120.0,0.4232960731589502,0.4232961,0.4232961,0.4232961
Total Recall,6.0,5107,2012-08-02,198802074,118,125000000,29.009,"['Action', 'Science Fiction', 'Thriller']",4,150.0,0.6367927535250031,0.3820757,0.6367928,0.2547171
Weekend at Bernie's,6.373,918,1989-07-05,30218387,97,6500000,12.318,"['Comedy', 'Crime']",4,120.0,0.2964310313706279,0.2371448,0.296431,0.296431
The Rite,6.093,1925,2011-01-28,96047633,114,37000000,16.578,"['Drama', 'Thriller', 'Horror']",4,120.0,0.4231477342975612,0.1692591,0.4231477,0.2538886
Dracula: Dead and Loving It,6.03,879,1995-12-22,10772144,88,30000000,24.618,"['Comedy', 'Horror']",3,90.0,0.5772193070074605,0.4617754,0.5772193,0.4617754
RED 2,6.525,3748,2013-07-18,148100000,116,84000000,27.752,"['Action', 'Comedy', 'Crime', 'Thriller']",4,150.0,0.6209501874326236,0.4967601,0.6209502,0.4967601
Burlesque,7.187,2109,2010-11-23,89519773,119,55000000,17.776,"['Drama', 'Romance']",4,150.0,0.4514907248742377,0.1805963,0.4514907,0.4514907
Mo' Money,5.444,125,1992-07-24,40227006,97,17000000,9.426,"['Action', 'Comedy', 'Thriller', 'Crime', 'Romance']",4,120.0,0.1731458261530369,0.1038875,0.1731458,0.1385167
Bad Company,5.5,697,2002-06-07,65977295,116,70000000,14.354,"['Action', 'Adventure', 'Comedy', 'Thriller']",4,150.0,0.362952527389382,0.290362,0.3629525,0.2177715
Voyagers,6.0,715,2021-04-08,4298184,108,20000000,21.498,"['Science Fiction', 'Thriller']",4,120.0,0.5261603126324491,0.2104641,0.5261603,0.2104641
The Lost Boys,7.0,1795,1987-07-31,32222567,97,8500000,36.706,"['Horror', 'Comedy', 'Thriller']",4,120.0,0.7181767858314414,0.4309061,0.7181768,0.4309061
Mirror Mirror,5.918,3030,2012-03-15,183018522,106,85000000,21.241,"['Adventure', 'Comedy', 'Family', 'Fantasy']",4,120.0,0.5215439058849654,0.5215439,0.4172351,0.3129263
Jackass 3D,6.609,1264,2010-10-15,117224271,99,20000000,14.615,"['Comedy', 'Documentary', 'Action']",4,120.0,0.3706097482295307,0.2964878,0.2964878,0.2964878
Funny Girl,7.207,363,1968-09-19,52223306,155,14000000,15.987,"['Comedy', 'Drama', 'Romance']",6,180.0,0.4081946251669632,0.2449168,0.4081946,0.4081946
Blade,6.762,5466,1998-08-21,131183530,121,45000000,37.081,"['Horror', 'Action']",5,150.0,0.7215904553414236,0.5772724,0.7215905,0.2886362
300: Rise of an Empire,6.093,6055,2014-03-05,337580051,102,110000000,38.678,"['Action', 'Drama', 'War']",4,120.0,0.7356653409913131,0.4413992,0.5885323,0.5885323
Alive,6.872,1290,1993-01-15,36733909,127,32000000,17.898,"['Adventure', 'Drama', 'Thriller']",5,150.0,0.4542413838998945,0.2725448,0.4542414,0.2725448
It's Alive,4.142,53,2008-09-10,15500000,80,10000000,6.385,"['Horror', 'Science Fiction']",3,90.0,1e-06,4e-07,1e-06,4e-07
The Incredibles,7.704,16584,2004-10-27,631442092,115,92000000,62.609,"['Action', 'Adventure', 'Animation', 'Family']",4,120.0,0.8872140486724204,0.887214,0.5323284,0.3548856
Marley & Me,7.199,4312,2008-12-25,255743093,115,60000000,21.498,"['Comedy', 'Family']",4,120.0,0.5261603126324491,0.5261603,0.4209283,0.5261603
The Contract,5.7,461,2006-04-05,5549200,96,25000000,8.981,"['Drama', 'Action', 'Thriller', 'Crime']",4,120.0,0.1498698859742069,0.0899219,0.1498699,0.1198959
Communion,5.2,151,1989-11-10,1919653,103,5000000,13.52,"['Drama', 'Horror', 'Science Fiction', 'Thriller']",4,120.0,0.3372487644290822,0.1348995,0.3372488,0.2023493
Capone,5.86,82,1975-04-16,2000000,101,970000,10.674,"['Crime', 'Drama']",4,120.0,0.2315675074763951,0.092627,0.2315675,0.2315675
Life of Pi,7.398,12426,2012-11-20,609016565,127,120000000,37.796,"['Adventure', 'Drama']",5,150.0,0.727982637719764,0.5823861,0.7279826,0.5823861
The Animal,5.112,1132,2001-06-01,84772742,84,22000000,16.459,['Comedy'],3,90.0,0.4201915886985212,0.4201916,0.4201916,0.4201916
Drowning Mona,5.5,148,2000-03-03,15427192,96,6000000,11.289,"['Comedy', 'Crime', 'Mystery']",4,120.0,0.2572369204000401,0.1543422,0.2572369,0.2572369
First Reformed,7.006,1213,2018-05-18,2525738,113,3500000,15.09,['Drama'],4,120.0,0.3841102402014757,0.1536441,0.3841102,0.3841102
