title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity,license_fee
Pokémon Detective Pikachu,6.953,6314,2019-05-03,449762638,105,150000000,33.679,"['Action', 'Adventure', 'Fantasy']",4,120.0,0.6889421345447301,0.6889421,0.6889421,0.2755769,911715.17
Insidious,6.947,6298,2011-03-31,99870886,103,1500000,40.882,"['Horror', 'Thriller']",4,120.0,0.7539552094843602,0.3015821,0.7539552,0.3015821,135445.06
Megamind,6.963,6290,2010-10-28,321885765,96,130000000,41.692,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",4,120.0,0.7603742422630069,0.6082994,0.6082994,0.4562245,710262.92
The Expendables 2,6.323,6289,2012-08-08,314975955,103,100000000,59.833,"['Action', 'Adventure', 'Thriller']",4,120.0,0.8736236158490509,0.6988989,0.8736236,0.3494494,629971.15
RED,6.685,6282,2010-10-13,199000000,111,58000000,25.561,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",4,120.0,0.5910773247490055,0.4728619,0.5910773,0.3546464,390000.0
mother!,7.0,6267,2017-09-13,44516999,121,30000000,24.705,"['Drama', 'Thriller', 'Horror']",5,150.0,0.5785253907680847,0.2314102,0.5785254,0.3471152,137420.4
Rise of the Guardians,7.36,6229,2012-11-21,306941670,97,145000000,36.796,"['Family', 'Animation', 'Fantasy', 'Action', 'Adventure']",4,120.0,0.7189999808637582,0.719,0.5752,0.2876,728330.0
Allegiant,6.1,6228,2016-03-09,179246868,120,110000000,19.857,"['Adventure', 'Science Fiction', 'Action', 'Mystery']",5,150.0,0.4954173811704973,0.3963339,0.4954174,0.2972504,491096.24
Star Trek Beyond,6.781,6226,2016-07-07,343471816,122,185000000,47.927,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.8051540657642244,0.6441233,0.8051541,0.3220616,868166.18
The Fast and the Furious: Tokyo Drift,6.454,6222,2006-06-03,158964610,104,85000000,11.096,"['Action', 'Crime', 'Drama', 'Thriller']",4,120.0,0.2493772779982876,0.1496264,0.2493773,0.1995018,406757.53
The 40 Year Old Virgin,6.374,6218,2005-08-11,177378645,116,26000000,22.984,"['Comedy', 'Romance']",4,150.0,0.551560936961007,0.4412487,0.5515609,0.5515609,287254.37
Olympus Has Fallen,6.394,6218,2013-03-20,170270201,120,70000000,41.289,"['Action', 'Thriller']",5,150.0,0.7571999417024372,0.60576,0.7571999,0.30288,384324.24
Pitch Perfect,7.295,6206,2012-09-28,115400000,112,17000000,25.464,"['Comedy', 'Music', 'Romance']",4,120.0,0.5896815239863842,0.4717452,0.4717452,0.5896815,191280.0
Taken 2,6.3,6201,2012-09-27,376141306,91,45000000,47.042,"['Action', 'Crime', 'Thriller']",4,120.0,0.799247222879133,0.4795483,0.7992472,0.4795483,571369.57
The Intern,7.205,6199,2015-09-23,194564672,121,35000000,27.542,['Comedy'],5,150.0,0.6182163813530914,0.6182164,0.6182164,0.6182164,329477.61
Super 8,6.76,6199,2011-06-08,260095986,112,50000000,19.534,"['Thriller', 'Science Fiction', 'Mystery']",4,120.0,0.488989285856484,0.1955957,0.4889893,0.2933936,444115.18
Rio,6.719,6195,2011-04-03,484635760,96,90000000,43.578,"['Animation', 'Adventure', 'Comedy', 'Family']",4,120.0,0.7747439200233865,0.7747439,0.4648464,0.4648464,809562.91
The Proposal,7.13,6189,2009-06-01,317375031,108,40000000,34.566,"['Comedy', 'Romance', 'Drama']",4,120.0,0.6978352342905275,0.4187011,0.6978352,0.6978352,488850.04
Mission: Impossible III,6.722,6186,2006-04-25,398479497,126,150000000,45.484,"['Adventure', 'Action', 'Thriller']",5,150.0,0.7885100296979408,0.630808,0.78851,0.315404,850175.4
Midsommar,7.162,6185,2019-07-03,47969371,147,9000000,32.581,"['Horror', 'Drama', 'Mystery']",5,180.0,0.6775232552652539,0.2710093,0.6775233,0.5420186,91163.25
Ad Astra,6.1,6143,2019-09-17,127461872,123,87500000,11.084,"['Science Fiction', 'Drama']",5,150.0,0.2488828445010479,0.0995531,0.2488828,0.1991063,374954.25
Mission: Impossible II,6.119,6122,2000-05-24,546388105,123,125000000,38.395,"['Adventure', 'Action', 'Thriller']",5,150.0,0.7332239929196369,0.5865792,0.733224,0.2932896,967665.73
28 Days Later,7.202,6104,2002-10-31,85720385,113,5000000,37.355,"['Horror', 'Thriller', 'Science Fiction']",4,120.0,0.7240578798105737,0.2896232,0.7240579,0.2896232,126864.46
The Age of Adaline,7.469,6092,2015-04-16,65663276,112,25000000,27.069,"['Romance', 'Fantasy', 'Drama']",4,120.0,0.6119625663813203,0.3671775,0.6119626,0.4895701,150795.93
Gangs of New York,7.318,6091,2002-12-14,193772504,168,100000000,31.711,"['Drama', 'History', 'Crime']",6,210.0,0.6681314941882202,0.2672526,0.6681315,0.6681315,484527.0
The Nun,5.9,6076,2018-09-05,365582797,96,22000000,357.731,"['Horror', 'Mystery', 'Thriller']",4,120.0,1.0,0.4,1.0,0.6,503499.36
300: Rise of an Empire,6.093,6055,2014-03-05,337580051,102,110000000,38.678,"['Action', 'Drama', 'War']",4,120.0,0.7356653409913131,0.4413992,0.5885323,0.5885323,681096.06
Love Actually,7.1,6047,2003-09-07,244931766,135,40000000,23.456,"['Comedy', 'Romance', 'Drama']",5,150.0,0.5592015210749905,0.3355209,0.5592015,0.5592015,401918.12
The Purge: Anarchy,6.649,6042,2014-07-17,111928365,104,9000000,36.694,"['Horror', 'Thriller']",4,120.0,0.7180668382177778,0.2872267,0.7180668,0.2872267,167914.04
Alice Through the Looking Glass,6.55,6025,2016-05-25,299457024,113,170000000,34.545,"['Adventure', 'Family', 'Fantasy']",4,120.0,0.6976279629273392,0.697628,0.5581024,0.2790512,779348.43
Mamma Mia!,6.966,6024,2008-07-03,609841637,108,52000000,25.811,"['Comedy', 'Romance']",4,120.0,0.5946444803810886,0.4757156,0.5946445,0.5946445,868609.96
Terminator Salvation,6.0,6009,2009-05-20,371353001,115,200000000,40.434,"['Action', 'Science Fiction', 'Thriller']",4,120.0,0.7503373296255954,0.4502024,0.7503373,0.3001349,937623.6
Rango,6.825,5969,2011-03-02,245724603,107,135000000,69.598,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",4,120.0,0.918417595825814,0.7347341,0.5510506,0.7347341,630869.52
Pearl Harbor,6.932,5944,2001-05-21,449220945,183,140000000,33.063,"['War', 'History', 'Romance', 'Drama']",7,210.0,0.6825937219969429,0.2730375,0.546075,0.6825937,887065.13
This Is the End,6.222,5941,2013-06-12,126041322,107,32000000,37.315,"['Action', 'Comedy']",4,120.0,0.7236990666574552,0.7236991,0.7236991,0.5789593,240049.59
Dark Phoenix,5.994,5941,2019-06-05,252442974,114,200000000,42.341,"['Fantasy', 'Science Fiction', 'Action', 'Adventure']",4,120.0,0.7654076940400862,0.6123262,0.7654077,0.3061631,794931.57
Horrible Bosses,6.565,5940,2011-07-08,209838559,98,35000000,25.142,"['Comedy', 'Crime']",4,120.0,0.5850000172355161,0.468,0.585,0.585,347806.27
Shark Tale,6.023,5923,2004-09-20,367275019,90,75000000,42.747,"['Animation', 'Action', 'Comedy', 'Family']",4,120.0,0.7685085257591149,0.7685085,0.6148068,0.4611051,632730.02
The Legend of Tarzan,5.9,5917,2016-06-29,356743061,109,180000000,27.807,"['Fantasy', 'Action', 'Adventure']",4,120.0,0.6216619298366869,0.6216619,0.6216619,0.2486648,872091.67
Inferno,6.1,5888,2016-10-13,220021259,121,75000000,24.901,"['Mystery', 'Thriller', 'Action']",5,150.0,0.5814468918395633,0.3488681,0.5814469,0.3488681,456025.51
It Follows,6.56,5882,2014-09-24,14674076,101,2000000,35.095,"['Horror', 'Mystery']",4,120.0,0.7030056997744286,0.2812023,0.7030057,0.5624046,34408.89
The Impossible,7.363,5880,2012-09-09,198087212,113,45000000,21.538,"['Adventure', 'Drama', 'Thriller']",4,120.0,0.526872592102802,0.3161236,0.5268726,0.3161236,357704.65
Project X,6.844,5867,2012-03-01,102731865,88,12000000,60.327,['Comedy'],3,90.0,0.8760975039142909,0.8760975,0.8760975,0.8760975,164078.24
Clash of the Titans,5.882,5863,2010-03-26,493214993,106,125000000,36.011,"['Adventure', 'Fantasy', 'Action']",4,120.0,0.7117347730008832,0.7117348,0.7117348,0.2846939,903857.99
Atomic Blonde,6.4,5860,2017-07-26,100014025,115,30000000,19.968,"['Action', 'Thriller']",4,120.0,0.4975961273340699,0.3980769,0.4975961,0.1990385,204016.83
Ocean's Thirteen,6.72,5859,2007-06-05,311312624,122,85000000,31.629,"['Crime', 'Thriller']",5,150.0,0.6672298441290645,0.2668919,0.6672298,0.5337839,589575.15
The Man from U.N.C.L.E.,7.087,5852,2015-08-13,108145109,116,75000000,25.534,"['Comedy', 'Action', 'Adventure']",4,150.0,0.5906894677790477,0.5906895,0.5906895,0.3544137,321774.13
National Treasure,6.605,5850,2004-11-19,347512318,131,100000000,29.091,"['Adventure', 'Action', 'Thriller', 'Mystery']",5,150.0,0.637796464320451,0.5102372,0.6377965,0.3826779,669014.78
Noah,5.653,5846,2014-03-07,362637473,138,125000000,28.882,"['Drama', 'Adventure']",5,150.0,0.6352312419490154,0.508185,0.6352312,0.508185,747164.97
Resident Evil,6.61,5803,2002-03-15,102984862,100,33000000,22.662,"['Horror', 'Action', 'Science Fiction']",4,120.0,0.5462348743840073,0.3277409,0.5462349,0.2184939,214781.83
Kick-Ass 2,6.396,5791,2013-07-17,60700000,103,28000000,24.476,"['Action', 'Adventure', 'Crime']",4,120.0,0.5750751001727314,0.4600601,0.5750751,0.3450451,152040.0
Warm Bodies,6.44,5761,2013-01-31,116980662,97,35000000,21.946,"['Horror', 'Comedy', 'Romance']",4,120.0,0.5340443810232314,0.3204266,0.5340444,0.4272355,236376.79
Annabelle,5.8,5742,2014-10-02,257047661,99,6500000,44.87,['Horror'],4,120.0,0.7841539311290809,0.3136616,0.7841539,0.3136616,336057.19
The Hitman's Bodyguard,6.891,5732,2017-08-16,176586701,118,30000000,28.214,"['Action', 'Comedy']",4,150.0,0.6268749313077016,0.6268749,0.6268749,0.5014999,295904.04
Happy Death Day,6.638,5721,2017-10-12,125479266,97,4800000,17.251,"['Horror', 'Mystery', 'Comedy']",4,120.0,0.439376175277643,0.2636257,0.4393762,0.3515009,174095.12
A.I. Artificial Intelligence,7.041,5719,2001-06-29,235926552,146,100000000,26.617,"['Drama', 'Science Fiction', 'Adventure']",5,180.0,0.6058578430023068,0.3635147,0.6058578,0.3635147,535111.86
The Ring,6.651,5706,2002-10-18,249348933,115,48000000,25.195,"['Horror', 'Mystery']",4,120.0,0.5857757064526936,0.2343103,0.5857757,0.4686206,426418.72
Lara Croft: Tomb Raider,5.879,5705,2001-06-11,274703340,100,115000000,32.121,"['Adventure', 'Fantasy', 'Action', 'Thriller']",4,120.0,0.6725967772062754,0.5380774,0.6725968,0.2690387,617644.01
Underworld,6.807,5696,2003-09-19,95708457,122,22000000,31.889,"['Fantasy', 'Action', 'Thriller']",5,150.0,0.6700788224186576,0.5360631,0.6700788,0.2680315,179650.15
What Happened to Monday,7.17,5687,2017-08-18,27975429,123,20000000,39.927,"['Science Fiction', 'Thriller', 'Drama', 'Mystery', 'Action']",5,150.0,0.7461829861559339,0.4477098,0.746183,0.4477098,93570.51
The Polar Express,6.707,5682,2004-11-10,310634054,100,165000000,45.535,"['Animation', 'Adventure', 'Family', 'Fantasy']",4,120.0,0.7888686073306972,0.7888686,0.4733212,0.3155474,780760.86
Dracula Untold,6.401,5680,2014-10-01,217124280,92,70000000,21.951,"['Horror', 'Action', 'Fantasy']",4,120.0,0.5341312313320065,0.427305,0.5341312,0.2136525,440549.14
Spy,6.832,5666,2015-05-06,235666219,120,65000000,25.334,"['Action', 'Comedy', 'Crime']",5,150.0,0.5878004195659552,0.4702403,0.5878004,0.4702403,450799.46
Contagion,6.636,5663,2011-09-08,137551594,106,60000000,22.541,"['Drama', 'Thriller', 'Science Fiction']",4,120.0,0.5442089097117191,0.2176836,0.5442089,0.3265253,321061.91
Bumblebee,6.73,5639,2018-12-15,467989645,113,135000000,30.511,"['Action', 'Adventure', 'Science Fiction']",4,120.0,0.6546395237032882,0.5237116,0.6546395,0.2618558,897587.57
The Book of Eli,6.781,5636,2010-01-14,157107755,118,80000000,36.812,"['Action', 'Thriller', 'Science Fiction']",4,150.0,0.7191460663996656,0.4314876,0.7191461,0.2876584,392529.31
The Accountant,7.062,5635,2016-10-13,155160045,128,44000000,22.664,"['Crime', 'Thriller', 'Drama']",5,150.0,0.5462682474988757,0.2185073,0.5462682,0.4370146,303792.05
The Babadook,6.52,5604,2014-05-22,10312540,94,2000000,20.417,"['Drama', 'Horror']",4,120.0,0.5062563969707676,0.2025026,0.5062564,0.4050051,29175.05
Red Sparrow,6.533,5596,2018-02-28,151572634,140,69000000,24.57,"['Thriller', 'Mystery']",5,180.0,0.5764962377117246,0.2305985,0.5764962,0.461197,359487.16
Tropic Thunder,6.635,5591,2008-08-09,195702811,107,92000000,23.108,"['Action', 'Comedy', 'Adventure', 'War']",4,120.0,0.5535871061008489,0.4428697,0.4428697,0.4428697,467643.37
